id,text,polarity,polarity_confidence,subjectivity,subjectivity_confidence;
925497583946076160,i bought erin an iphone so she can text me again when shes out and she cant even do that act like i want take that phone right from her,negative,0.5109424591064453,subjective,1.0;
"925496783630884864,""so my phone gave up on me (lol exactly on Nov1 too), and sadly the new iphone aint out yet."",negative,0.5481427907943726,subjective,1.0";
925496398027673600,Idk who let me adult but I just ordered the iPhone X and I’m stressin bc it has half the storage as my current phone,neutral,0.5777509808540344,subjective,1.0;
"925495860590505984,""This may be the phone that finally forces me to abandon Apple. We went from them needing my prints to them needing to look at my face all the time. Nope. You’re getting too creepy. iPhone XII will prob require a DNA sample and a promise ring, so I’ll prob need to bail now. https://twitter.com/apple/status/922992604459028480 …"",negative,0.3905380368232727,subjective,1.0";
925495750515191808,Seriously considering keeping my iPhone 6s so that I CAN LISTEN ON MY HEADPHONES AND CHARGE MY PHONE AT THE SAME TIME.,positive,0.6429219245910645,subjective,1.0;
925495649730117632,# phone gear Anti Gravity Casing for iPhone and Samsung http://phone-accessor ... http://phone-accessories.online/shop/anti-gravity-casing-iphone-samsung/ …pic.twitter.com/jsz5JwBKfC,neutral,0.9723871350288391,objective,0.9999986876209351;
925494915064352769,@ MissRBaller I use an Apple iPhone and an HP computer with windows and a Nokia phone. You were wrong we exist,neutral,0.6290703415870667,subjective,1.0;
925494196374528001,hi @ Apple i get it u guys want me to get a new phone but i got this iphone 7 six months ago so stop ruining my phone im unable to go to my home screen i gotta click twice and its annoying so please leave my phone alone stop making it freeze ihy guys but i also hate android,positive,0.5809404253959656,subjective,1.0;
"925494184676601857,""But it’s not like I can afford a new phone, specially since I bought mine 1y ago and to buy the iPhone X i would have to sell a kidney"",negative,0.8066809773445129,subjective,1.0";
925493752071933953,Went this morning to take my mom her new iPhone at 6am and I had to come back cause she drives me nuts. But her happiness is my happiness. But she next time im buying her a flip phone,positive,0.5045207142829895,subjective,1.0;
925492551230066689,I think I’m just done with iPhone the product is become more impractical and fixing the phone is a bit too tedious,negative,0.5351567268371582,subjective,1.0;
"925491444902658049,""Well at least it's kind accurate for you, my phone says it's at 80% and then it just dies 3 seconds later # Iphone"",negative,0.5672410130500793,subjective,1.0";
925491327743041538,25 Android and iPhone Apps to Add a Second Phone Number for Business Only Calls http://dlvr.it/PyZtcP,neutral,0.9817523956298828,objective,0.9999999999931777;
925490311165595648,If you’re gonna have an iphone and not keep up with the updates you might as well get a flip phone,negative,0.45286962389945984,subjective,1.0;
925489688646967296,Preparing for an all glass iPhone by dropping my phone more this past week than I have in the entire two and a half years with an iPhone.,neutral,0.43528851866722107,subjective,1.0;
925488331219234817,Wow I can’t believe how expensive the iPhone eight and ten is I like my iPhone six I shall stick with that phone for awhile longer I say.,negative,0.6240758299827576,subjective,1.0;
925487216805150720,This is bullshit why does my iPhone go from 100% to 50% in 30 minutes and then dies at 50% ..... my phone dies in 30 minutes WTF,negative,0.9837164878845215,objective,1.0;
925487151470530560,Read a few iPhone X reviews and not one mentions how easy it is to shatter when you drop it. Drop my phone about three times a week. # Clumsy,negative,0.4835951030254364,subjective,1.0;
"925485570129842176,""I dropped my iphone 6, and the back got really hot and then turned off and now my phone doesn't turn on at … https://iphoneus.org/t566979"",negative,0.5759975910186768,subjective,1.0";
925485065890680834,My 10 month old broke my phone so I started using my old iPhone and he broke it last night,negative,0.7530022859573364,subjective,1.0;
"925484763137396739,""Here's a video idea, get the new iPhone X and try use each other's faces to unlock the phone! Would be a banger @ EthanDolan @ GraysonDolan"",neutral,0.4593411684036255,objective,0.9999999999999896";
925484655033356288,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/xuZZ3SOqqN,neutral,0.8806993961334229,objective,0.9999998636352302;
925484612234678272,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/THVG2NKk7f,neutral,0.8806993961334229,objective,0.9999999494254673;
925484284995043328,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/sH3E73SMwt,neutral,0.9323235154151917,objective,0.9999994065724385;
925484135090601984,i'm going caseless for a few days before my iphone x comes and god phones feel so nice without a case,positive,0.9155935049057007,subjective,0.9999999998500799;
925484070150295552,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/8lBDgdiABC,neutral,0.9478928446769714,objective,0.9999999998588436;
925484010750562305,I just find it funny how O2 phoned me today asking if I wanted to upgrade my phone. I said no and then ended up with a smashed iPhone,negative,0.703510582447052,subjective,1.0;
"925483932589658112µ2017-10-31 23:05µRT TopFiveTraders ""RT ForbesTech ""The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/vtnvIQ6PtI""""µhttps://twitter.com/CNBCTradersFan/status/925483932589658112,nan,neutral,0.407149076461792,subjective,0.7952850462814437";
925483927657172992,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/k1eiifJLKv,neutral,0.9167292714118958,objective,0.9999999970329474;
925483902139060225,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/BiAJjyYQ7n # ForbesTech,neutral,0.8806993961334229,objective,0.9999999876597242;
"925483803845582848µ2017-10-31 23:05µRT ForbesTech ""The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/9GlPAHLNgf""µhttps://twitter.com/TopFiveTraders/status/925483803845582848,nan,neutral,0.407149076461792,subjective,0.7952850462814437";
925483087332544512,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/dN51ojMl0l,neutral,0.9552880525588989,objective,0.9999998523898757;
925483002129461248,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/Bu58ExKxiB,neutral,0.9552880525588989,objective,0.9999999942579396;
925482979807416327,ForbesTech: The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/DR9y6s93AH,neutral,0.9075070023536682,objective,0.9999999915569119;
925482899956264960,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/bqVoXwdT9T,neutral,0.9552880525588989,objective,0.9999999727467349;
925482896181383168,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/5nGezjmH2U,neutral,0.9552880525588989,objective,0.9999993580765258;
925482524574396417,only one downside to having the iPhone 8 and that’s not being able to charge your phone and listen to music at the same time,negative,0.7574064135551453,objective,0.911196500176675;
925482518635216896,The best wireless charger for iPhone and Android phones: http://on.forbes.com/60178huLV pic.twitter.com/CAMwVWFD4J,neutral,0.9382283687591553,objective,0.9999695801427667;
925481467161038848,My mom got her iPhone screen fixed and not even seconds after leaving the phone place this man bumped her and she dropped that shit again,negative,0.741969645023346,subjective,1.0;
925481410202390530,DOKRO iphone Tripod Flexible and Adjustable Mini Cell Phone Tripod Stand Holder with… https://goo.gl/fb/W6zbNP,neutral,0.9740100502967834,objective,0.999999999999255;
"925480985810087936,""Just watched Hunted, what a load of crap. As if they did not give the camera man an iPhone and they used “find my phone” to track there prey"",negative,0.8049148917198181,subjective,1.0";
"925480864603148289,""Combine this with commercials for iPhone X with the swirling, colorful screen and only showing the outer beauty of the phone, nothing more…"",positive,0.4773804843425751,subjective,0.9999945328545532";
