username;date;text;hashtags;id;permalink,,,,,,,,,,,,
";2017-12-31 22:39;""Several new Huawei phones have leaked", including one with a notched display A slew of schematic designs for some new Huawei devices have leaked, showing off a set of new devices, features, and naming conventions. The leak shows off the P20, P20 Plus," and�?http://ift.tt/2DDStiD pic.twitter.com/oFrtwOQQKV"";;""947582952225038338"";https://twitter.com/worldvoipcenter/status/947582952225038338",,,,,,
";2017-12-31 20:46;""Yes", Android Google Nexus 6p battery went bad after about 15 months. Constant reboots at around 30% battery life. Google did nothing," but sent me to Huawei and they wanted $130 for a new battery. I will never buy a phone from Google or Huawei again."";;""947554558942707712"";https://twitter.com/offlix/status/947554558942707712",,,,,,,,,,
";2017-12-31 20:10;""@ Huawei just got the p10 and t3 tablet and as a truck driver they really good bits of kit used to have sony phones until the p10 user friendly phone"";;""947545394438959104"";https://twitter.com/ScottTomkinson/status/947545394438959104",,,,,,,,,,,,
";2017-12-31 20:07;""I've got a Huawei P10", and it found my Fitbit but then stayed on the connecting screen, so I looked on the compatible device list. I've paired it with my laptop, but I've read that you need to connect it to a phone to track runs with GPS," which is what I wanted a Fitbit for!"";;""947544855479242752"";https://twitter.com/CharlotteSamue5/status/947544855479242752",,,,,,,,
";2017-12-31 20:00;""# technology # news Several new Huawei phones have leaked", including one with a notched display - A slew of schematic designs for some new Huawei devices have leaked, showing off a set of new devices, features," and naming conventions. The leak �?http://ow.ly/xxZp50fZ5sY"";# #;""947543062988951558"";https://twitter.com/AydMahdy/status/947543062988951558",,,,,,,,
";2017-12-31 19:45;""AppDevelopmentTrends Several new Huawei phones have leaked", including one with a notched display - A slew of schematic designs for some new Huawei devices have leaked, showing off a set of new devices, features," and naming conventions. The leak shows ... http://ow.ly/Bu0850fZ4Uz"";;""947539337218052099"";https://twitter.com/droidappsexpert/status/947539337218052099",,,,,,,,
";2017-12-31 18:53;""Top phone China Xiaomi",Huawei,"Meizu... OnePlus 5T international giveaway! - And�?https://www.androidauthority.com/oneplus-5t-international-giveaway-3-826208/ �? see more http://tweetedtimes.com/v/413?s=tnp"";;""947526166491074560"";https://twitter.com/ls1900/status/947526166491074560",,,,,,,,,,
";2017-12-31 15:38;""Khumariyaan"," Huawei Mobile and Patari present ""Gulmast"": https://goo.gl/5HuZiz Let your spirit wander off to the valleys this New Year’s Eve with Khumariyan. Watch the video shot entirely on Huawei phones in a Patari original production at: https://youtu.be/_SBzbIwo3fs pic.twitter.com/TQBm82Hc2a"";;""947476960363581440"";https://twitter.com/patarimusic/status/947476960363581440",,,,,,,,,,,
";2017-12-31 14:20;""You guys should consider the huawei p10 selfie", p10 plus and mate 10. Those phones are far better at taking pictures than the iPhone X," the pixel or the note. The cameras embedded in the huawei’s phones are co-engineered with Leica"";;""947457499912900608"";https://twitter.com/jdcolorado11/status/947457499912900608",,,,,,,,,,
";2017-12-31 13:57;""I liked a @ YouTube video http://youtu.be/UDbVuXTdxUU?a How to Move Files to SD Card on Huawei Honor 3X and other Huawei Phones."";;""947451676750999552"";https://twitter.com/Joepr69/status/947451676750999552",,,,,,,,,,,,
";2017-12-31 12:21;""I'm honestly not a fan of HDR", but using the Mate 10 Pro as a benchmark," the scene looks more accurate and noticeably more detailed with & without HDR when using the Huawei. I think the Razer Phone is only another update or two away from offering a great camera experience. pic.twitter.com/JHVPE7NeNr"";;""947427477424689153"";https://twitter.com/JonDevo/status/947427477424689153",,,,,,,,,,
";2017-12-31 11:37;""Not due upgrade until about Feb or so", assistant came over, we said we scoping phones, she asked our current phone, showed her, she replied what phones we were looking at, we said the Honor or Huawei range, lost interest and walked off," so we looked at some phones and left"";;""947416420882767873"";https://twitter.com/WoodlandSpirit/status/947416420882767873",,,,
";2017-12-31 11:35;""Alleged Huawei P20", P20 Plus, and P20 Pro designs leak out," triple cameras everywhere @Phone Arena # منارة_التقنية http://lighthouseoftec.com/151986"";#;""947415793326788608"";https://twitter.com/lighthouseoftec/status/947415793326788608",,,,,,,,,
";2017-12-31 11:21;""mr ash huawei p11 phone rumoured to have 3 cameras in rear and better face id sensors than apple 10 n the front screen notch is smaller than aplle 10. your comments please"";;""947412424512094208"";https://twitter.com/pk_sundararaman/status/947412424512094208",,,,,,,,,,,,
";2017-12-31 09:02;""There are so many more awesome choices in Android now than there was a few years ago. Samsung obvs", HTC and LG still strong, OnePlus and Moto will give you flagships for ~400, Huawei if you can find it," even RED cameras and Razer computers made phones this year."";;""947377283228090368"";https://twitter.com/danosaur55/status/947377283228090368",,,,,,,,
";2017-12-31 05:23;""Big Blue to end the year... # honor 7x for a second phone. 18:9 ", 4GB ," 32GB and big screen . only 13k with some cashback (a variant not actual one) from # mobikwik . # unboxing # honor7x # productreview # smartphone # huawei # IBMer # Chennai # photography # canon # tamil # tamilnadu # Indiapic.twitter.com/j13CvQl8Mw"";# # # # # # # # # # # # # #;""947322347475709957"";https://twitter.com/ChennaiTwEater/status/947322347475709957",,,,,,,,,,
