username;date;text;hashtags;id;permalink,,,,,,,,,,,,,,
";2018-02-28 23:53;""Wireless Charger iPhone X"," CUCELL QI Wireless Charger Fast Charging Pad Stand for Samsung Galaxy S8/S8 Plus Note 8/5 S7/S7 plus Edge iPhone X 8 8 Plus Lg g6 And All Qi-Enabled Cell Phone(NO Adapter) http://www.smartphonefuture.com/wireless-charger-iphone-x-cucell-qi-wireless-charger-fast-charging-pad-stand-for-samsung-galaxy-s8-s8-plus-note-8-5-s7-s7-plus-edge-iphone-x-8-8-plus-lg-g6-and-all-qi-enabled-cell-phoneno-adapter-2/apple/ â€¦pic.twitter.com/JXd8XSDnpo"";;""968982635866476544"";https://twitter.com/anilmonga55/status/968982635866476544",,,,,,,,,,,,,
";2018-02-28 23:50;""I bought a Samsung compatible charging lead from @ AnkerOfficial . Itâ€™s only been a week and itâ€™s failed me already. The lead wonâ€™t stay in the phone it just falls out. 10 foot red nylon cable was great when it worked ."";;""968981723970260992"";https://twitter.com/warpig4144/status/968981723970260992",,,,,,,,,,,,,,
";2018-02-28 23:45;""Here we are setting up and testing more Samsung phones (or as we like to call them PPDs- Portable Pocket Devices) with Knox Manage and Knox Configurator! What great tools! pic.twitter.com/5MbytEHzEf"";;""968980382061273088"";https://twitter.com/NeedThese/status/968980382061273088",,,,,,,,,,,,,,
";2018-02-28 23:40;""I donâ€™t like Samsung anymore either had their phone products and it was slow"," always freezing and the quality of the product well letâ€™s just say I was not impressed I have apple now and I love it"";;""968979160638066688"";https://twitter.com/JaniceEnglefie1/status/968979160638066688",,,,,,,,,,,,,
";2018-02-28 23:33;""Burnt on a Samsung phone for it recording conversations and things he said and other peopleâ€™s conversations too and he didnâ€™t know it and his wife figured out how to access his google and she went back 2 years listening to stuff. Got him in trouble. But iPhone donâ€™t do that lol"";;""968977530836439040"";https://twitter.com/GreenLantern_77/status/968977530836439040",,,,,,,,,,,,,,
";2018-02-28 23:30;""For 30% off @ anoellejay apparel", accessories, iPhone and @ samsung phone cases," & tshirts on @ society6 Click here >>> http://buff.ly/2FCWxlt Easter and Mother's Day is around the corner! # BlackArtists # BlackHistoryMonth # blackgirlsrock # blackart # BlackGirlMagic Run in style!pic.twitter.com/UIE80sUFpN"";# # # # #;""968976751505362945"";https://twitter.com/ANoelleJay/status/968976751505362945",,,,,,,,,,,
";2018-02-28 23:29;""@ TMobile @ TMobiledeals I just tried to leave Verizon after 20 years and go with you..the BOGO on @ Samsung phones ended yesterday? # nevermind"";#;""968976436777250816"";https://twitter.com/opinionmall/status/968976436777250816",,,,,,,,,,,,,,
";2018-02-28 23:29;""Does anyone have an old", spare Samsung phone? I want to try out http://www.notesonblindness.co.uk/vr/ and I got a GearVR," just need a phone to pair."";;""968976401759068160"";https://twitter.com/Xavier_Ho/status/968976401759068160",,,,,,,,,,,,
";2018-02-28 23:25;""Not sure which iPhone Hakyeonâ€™s currently using but he does use an iPhone. Taekâ€™s is 7+ while Wonshikâ€™s is either 6+ or 6s+ and Beanâ€™s is either 6 or 6s. Hyogi posted something about him buying new phone but Iâ€™m not sure what phone it is. He does love a Samsung tho."";;""968975360451751936"";https://twitter.com/deenakahara/status/968975360451751936",,,,,,,,,,,,,,
";2018-02-28 23:24;""For the first time ever I gone done smashed my phone. My trusty iPhone 5 will limp through to the weekend and be replaced. I'm thinking of switching to Samsung with an S7"," possibly edge. Hit me up with the recoms!"";;""968975243372122114"";https://twitter.com/HuwHopkins/status/968975243372122114",,,,,,,,,,,,,
";2018-02-28 23:23;""I have a Samsung and no updates on my phone"," I just checked"";;""968974873338015745"";https://twitter.com/TotalMalec/status/968974873338015745",,,,,,,,,,,,,
";2018-02-28 23:15;""Samsungâ€™s Galaxy S9 and S9+ leapfrog every Android phone once again http://smartecky.com/samsungs-galaxy-s9-and-s9-leapfrog-every-android-phone-once-again/ â€¦pic.twitter.com/t1LMZ5qpvw"";;""968973034009841665"";https://twitter.com/smartecky/status/968973034009841665",,,,,,,,,,,,,,
";2018-02-28 23:11;""Always liked Sony phones BUT like the look of Oneplus 5T and Samsung s8 plus now. Sony design is out dated."";;""968971924213772288"";https://twitter.com/swettypits/status/968971924213772288",,,,,,,,,,,,,,
";2018-02-28 23:09;""Skip Samsung s7.. If you want a leading smartphone from Samsung you have two choices s8 and note 8 both phones are magnificent with high and steady performance so far. Other phones competitor such as huawei p10 and xiomi note 5 are also options if you want to switch."";;""968971553135263744"";https://twitter.com/eslam_xabdo/status/968971553135263744",,,,,,,,,,,,,,
